id,name,age,gender,language,occupation,annual_income_eur_gross_household,net_wealth_eur_household,income_percentile_be,wealth_percentile_be,income_percentile_expl,wealth_percentile_expl
1,Bram Dubois,45,Male,Dutch,Electrician,34101,120319,35.4,33.6,"Between p30 (€30,400) and p40 (€37,600)","Between p30 (€99,100) and p40 (€168,800)"
2,Julie Santos,19,Female,French,Tech lead,57709,348202,60.3,63.7,"Between p60 (€57,300) and p70 (€70,400)","Between p60 (€318,900) and p70 (€405,000)"
3,Laura Nguyen,37,Female,French,General practitioner,68010,258347,68.3,52.3,"Between p60 (€57,300) and p70 (€70,400)","Between p50 (€242,400) and p60 (€318,900)"
4,Louis Kowalski,20,Male,French,Administrative assistant,35576,55813,37.4,25.5,"Between p30 (€30,400) and p40 (€37,600)","Between p20 (€27,900) and p30 (€99,100)"
5,Julie Kowalski,50,Female,Dutch,Police officer,57465,335245,60.1,62.1,"Between p60 (€57,300) and p70 (€70,400)","Between p60 (€318,900) and p70 (€405,000)"
6,Sarah Lefebvre,43,Female,Dutch,Sales manager,80190,562923,76.6,80.7,"Between p70 (€70,400) and p80 (€85,700)","Between p80 (€546,500) and p90 (€849,600)"
7,Khadija Lefebvre,70,Female,Dutch,Retired small business owner,22971,146354,17.4,37.3,"Between p10 (€18,900) and p20 (€24,600)","Between p30 (€99,100) and p40 (€168,800)"
8,Noah Nguyen,38,Male,Dutch,Primary school teacher,56094,279111,58.9,55.1,"Between p50 (€47,100) and p60 (€57,300)","Between p50 (€242,400) and p60 (€318,900)"
9,Maxime Wouters,42,Male,Dutch,University student (part-time),14073,1185,8.7,6.3,"Below p10 (≤€18,900)","Below p10 (≤€2,800)"
10,Sarah Maes,42,Female,French,Disabled (work-limiting),16151,7371,9.3,14.2,"Below p10 (≤€18,900)","Between p10 (€2,800) and p20 (€27,900)"
11,Nicolas Dupont,37,Male,French,PhD student,15001,7882,9.0,14.5,"Below p10 (≤€18,900)","Between p10 (€2,800) and p20 (€27,900)"
12,Ahmed Claes,22,Male,Dutch,Electrician,36760,53422,38.9,25.1,"Between p30 (€30,400) and p40 (€37,600)","Between p20 (€27,900) and p30 (€99,100)"
